Time (ns),Neutrons out(ns^-1),DSR,Tion (keV)
9.574,3.98E+18,0.0285498,10.1409
9.575,3.93E+18,0.0282751,10.2353
9.576,3.89E+18,0.0280005,10.3308
9.577,3.84E+18,0.0277261,10.4274
9.578,3.78E+18,0.0274517,10.5251
9.579,3.71E+18,0.0271776,10.6239
9.58,3.66E+18,0.0269036,10.7237
9.581,3.60E+18,0.0266298,10.8246
9.582,3.52E+18,0.0263563,10.9265
9.583,3.45E+18,0.0260831,11.0294
9.584,3.38E+18,0.0258101,11.1333
9.585,3.29E+18,0.0255375,11.2382
9.586,3.22E+18,0.0252652,11.3441
9.587,3.13E+18,0.0249932,11.4509
9.588,3.05E+18,0.0247217,11.5587
9.589,2.96E+18,0.0244505,11.6674
9.59,2.87E+18,0.0241798,11.777
9.591,2.78E+18,0.0239096,11.8875
9.592,2.70E+18,0.0236398,11.9989
9.593,2.61E+18,0.0233705,12.1111
9.594,2.52E+18,0.0231018,12.2242
9.595,2.43E+18,0.0228336,12.3382
9.596,2.34E+18,0.0225661,12.453
9.597,2.25E+18,0.0222991,12.5686
9.598,2.17E+18,0.0220327,12.6849
9.599,2.09E+18,0.021767,12.8021
9.6,2.00E+18,0.021502,12.92
9.601,1.92E+18,0.0212377,13.0386
9.602,1.85E+18,0.0209742,13.1578
9.603,1.77E+18,0.0207117,13.2772
9.604,1.69E+18,0.0204502,13.3967
9.605,1.62E+18,0.02019,13.5161
9.606,1.54E+18,0.019931,13.6351
9.607,1.47E+18,0.0196736,13.7534
9.608,1.40E+18,0.0194177,13.8709
9.609,1.33E+18,0.0191636,13.9874
9.61,1.26E+18,0.0189112,14.1025
9.611,1.20E+18,0.0186609,14.2161
9.612,1.13E+18,0.0184126,14.328
9.613,1.07E+18,0.0181666,14.4378
9.614,1.01E+18,0.0179229,14.5455
9.615,9.57E+17,0.0176816,14.6507
9.616,9.03E+17,0.017443,14.7533
9.617,8.51E+17,0.017207,14.853
9.618,8.02E+17,0.0169739,14.9495
9.619,7.56E+17,0.0167438,15.0428
9.62,7.12E+17,0.0165168,15.1324
9.621,6.70E+17,0.016293,15.2182
9.622,6.31E+17,0.0160726,15.3
9.623,5.94E+17,0.0158557,15.3776
9.624,5.59E+17,0.0156423,15.4506
9.625,5.26E+17,0.0154327,15.519
9.626,4.94E+17,0.0152269,15.5824
9.627,4.65E+17,0.0150251,15.6407
9.628,4.37E+17,0.0148275,15.6935
9.629,4.11E+17,0.014634,15.7407
9.63,3.86E+17,0.0144449,15.7821
9.631,3.62E+17,0.0142604,15.8174
9.632,3.40E+17,0.0140804,15.8464
9.633,3.19E+17,0.0139051,15.8689
9.634,2.98E+17,0.0137348,15.8846
