Time (ns),Neutrons out per ns,DSR,Tion(keV) new,Time shifted per above cell for overplotting
9.365,1.73E+17,0.00904127,14.9701,9.655
9.366,1.61E+17,0.00894605,14.9453,9.656
9.367,1.48E+17,0.00883908,14.9196,9.657
9.368,1.36E+17,0.00873212,14.8931,9.658
9.369,1.27E+17,0.00862393,14.866,9.659
9.37,1.20E+17,0.00851324,14.8381,9.66
9.371,1.15E+17,0.00840255,14.8097,9.661
9.372,1.08E+17,0.00829326,14.7806,9.662
9.373,9.99E+16,0.00818786,14.7511,9.663
9.374,9.16E+16,0.00808245,14.7211,9.664
9.375,8.47E+16,0.00798472,14.6906,9.665
9.376,8.00E+16,0.00791699,14.6599,9.666
9.377,7.63E+16,0.00784926,14.6288,9.667
9.378,7.22E+16,0.00777468,14.5974,9.668
9.379,6.70E+16,0.00765702,14.5659,9.669
9.38,6.14E+16,0.00753936,14.5342,9.67
9.381,5.67E+16,0.00742927,14.5024,9.671
9.382,5.34E+16,0.00742313,14.4706,9.672
9.383,5.09E+16,0.00741699,14.4388,9.673
9.384,4.83E+16,0.00741086,14.407,9.674
9.385,4.49E+16,0.00727858,14.3754,9.675
9.386,4.13E+16,0.00714571,14.3439,9.676
9.387,3.80E+16,0.00701285,14.3126,9.677
9.388,3.57E+16,0.00697051,14.2816,9.678
9.389,3.40E+16,0.00693602,14.251,9.679
9.39,3.24E+16,0.00690152,14.2207,9.68
9.391,3.03E+16,0.00679174,14.1908,9.681
9.392,2.78E+16,0.00666771,14.1614,9.682
9.393,2.56E+16,0.00654368,14.1326,9.683
9.394,2.40E+16,0.00652369,14.1043,9.684
9.395,2.28E+16,0.00653725,14.0767,9.685
9.396,2.18E+16,0.00655082,14.0498,9.686
9.397,2.04E+16,0.0064931,14.0236,9.687
9.398,1.89E+16,0.00639991,13.9982,9.688
9.399,1.73E+16,0.00630672,13.9736,9.689
9.4,1.62E+16,0.0062395,13.95,9.69
